PROC_OFFICER_NAME,ARTWORK_ARTWORK_ID
Marshall Cogan Purchase Fund,321
Marshall Cogan Purchase Fund,322
Marshall Cogan Purchase Fund,323
Gift of the architect,324
Gift of the architect,325
Gift of the architect,326
Gift of the architect,327
Gift of the architect,328
Gift of the architect,329
Gift of the architect,330
Gift of the architect,331
Purchase,332
Purchase,333
Purchase,334
Gift of the architect in honor of Philip Johnson,335
Gift of the architect in honor of Philip Johnson,336
Gift of the architect in honor of Philip Johnson,337
Gift of the architect in honor of Philip Johnson,338
Gift of the architect in honor of Philip Johnson,339
Gift of the architect in honor of Philip Johnson,340
Gift of the architect in honor of Philip Johnson,341
Gift of the architect,342
Gift of the architect in honor of Philip Johnson,343
Gift of the architect,344
Gift of the architect in honor of Philip Johnson,345
Gift of the architect,346
Gift of the architect,347
Gift of the architect,348
Gift of the architect,349
Gift of the architect,350
Gift of the architect,351
Gift of the architect,352
Gift of the architect in honor of Philip Johnson,353
Gift of the architect,354
Gift of the architect to Philip Johnson,355
Gift of the architect,357
Gift of the architect,359
Gift of the architect in honor of Philip Johnson,360
Gift of the architect in honor of Philip Johnson,361
Gift of the architect in honor of Philip Johnson,362
Gift of the architect in honor of Philip Johnson,363
Gift of the architect in honor of Philip Johnson,364
Gift of the architect in honor of Philip Johnson,365
Gift of the architect in honor of Philip Johnson,366
Gift of the architect in honor of Philip Johnson,367
Gift of the architect in honor of Philip Johnson,368
Gift of the architect in honor of Philip Johnson,369
Gift of the architect in honor of Philip Johnson,370
Gift of the architect in honor of Philip Johnson,372
Gift of the architect in honor of Philip Johnson,373
Gift of the architect in honor of Philip Johnson,374
Gift of the architect in honor of Philip Johnson,375
Gift of the architect in honor of Philip Johnson,376
Gift of the architect in honor of Philip Johnson,377
Gift of the architect in honor of Philip Johnson,378
Gift of the architect in honor of Philip Johnson,379
Gift of the architect in honor of Philip Johnson,380
Gift of the architect in honor of Philip Johnson,381
Gift of the architect in honor of Philip Johnson,382
Gift of the architect in honor of Philip Johnson,383
Gift of the architect in honor of Philip Johnson,384
Gift of the architect,386
Gift of the architect in honor of Philip Johnson,387
"Mies van der Rohe Archive, gift of Mary Callery",388
Gift of the architect,389
"Patricia Phelps de Cisneros Purchase Fund, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",390
Gift of the architect,391
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",392
Gift of the architect,393
Gift of the architect,394
Gift of the architect,396
Gift of the architect,397
Gift of the architect,399
Gift of the architect,400
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",401
Gift of the architect,402
Gift of the architect,403
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",404
Gift of the architect,405
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",406
Gift of the architect,407
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",408
Gift of the architect,409
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",410
Gift of the architect,411
Gift of the architect in honor of Lily Auchincloss,412
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",413
Gift of the architect,414
Gift of the architect in honor of Lily Auchincloss,415
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",416
Gift of the architect,417
Gift of the architect in honor of Lily Auchincloss,418
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",419
Gift of the architect,420
Purchase,421
Gift of the architect in honor of Lily Auchincloss,422
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",423
Gift of the architect,424
Purchase,425
Gift of the architect in honor of Lily Auchincloss,426
"Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",427
Gift of the architect,428
Purchase,429
